"name","city","country","country_code","iata","icao","latitude","longitude","altitude","apid","uid","timezone","dst","tz_id","type","source","airport_id","x","y","elevation","tz_database_timezone"
Dokdo,Dokdo,South Korea,,"","",37.227929,131.8549188,1,9525,,-9.0,N,,unknown,User,10965,,,,""
Lancaster Amtrak Station,Lancaster,United States,,"","",40.05,-76.31,345,5888,,-5.0,A,,station,User,7318,,,,America/New_York
Ardmore Amtrak Station,Ardmore,United States,,"","",40.01,-75.29,360,5889,,-5.0,A,,station,User,7319,,,,America/New_York
Abaiang Airport,Abaiang Atoll,Kiribati,,ABF,NGAB,1.798609972000122,173.04100036621094,0,5890,,12.0,U,,airport,OurAirports,7320,,,,Pacific/Tarawa
Metropark Amtrak Station,Iselin,United States,,"","",40.568,-74.3275,1,5891,,-5.0,A,,station,User,7321,,,,America/New_York
St. Louis Downtown Airport,East St. Louis,United States,,CPS,"",38.5707244,-90.1562211,413,5892,,-6.0,U,,airport,User,7322,,,,America/Chicago
Afobakka Airstrip,Afobaka,Suriname,,"",SMAF,4.998505,-54.992033,80,5893,,-3.0,U,,airport,OurAirports,7323,,,,America/Paramaribo
Alalapadu Airstrip,Alapadu,Suriname,,"",SMDU,2.5235,-56.3247,880,5894,,-3.0,U,,airport,OurAirports,7324,,,,America/Paramaribo
Albina Airport,Albina,Suriname,,ABN,SMBN,5.512720108032227,-54.05009841918945,19,5895,,-3.0,U,,airport,OurAirports,7325,,,,America/Paramaribo
Lawa Anapaike Airstrip,Anapaike,Suriname,,"",SMLA,3.411301,-54.028049,373,5896,,-3.0,U,,airport,OurAirports,7326,,,,America/Paramaribo
Apetina Airstrip,Apetina,Suriname,,"",SMPT,3.50278,-55.058791,0,5897,,-3.0,U,,airport,OurAirports,7327,,,,America/Paramaribo
Botopassi Airstrip,Botopasi,Suriname,,BTO,"",4.233333,-55.45,10,5898,,-3.0,U,,unknown,User,7328,,,,America/Paramaribo
Djoemoe Airstrip,Djoemoe,Suriname,,DOE,"",4.016667,-55.483333,10,5899,,-3.0,U,,unknown,User,7329,,,,America/Paramaribo
Drietabbetje Airport,Drietabbetje,Suriname,,DRJ,SMDA,4.111359,-54.672766,236,5900,,-3.0,U,,airport,OurAirports,7330,,,,America/Paramaribo
Kabalebo Airport,Kabalebo,Suriname,,"",SMKA,4.406,-57.223,535,5901,,-3.0,U,,airport,OurAirports,7331,,,,America/Paramaribo
Kayser Airport,Kayser,Suriname,,"",SMKE,3.094343,-56.472702,849,5902,,-3.0,U,,airport,OurAirports,7332,,,,America/Paramaribo
Kwamalasoemoetoe Airport,Kwamelasemoetoe,Suriname,,"",SMSM,2.354427,-56.792431,905,5903,,-3.0,U,,airport,OurAirports,7333,,,,America/Paramaribo
Moengo Airstrip,Moengo,Suriname,,MOJ,SMMO,5.6076,-54.4003,49,5904,,-3.0,U,,airport,OurAirports,7334,,,,America/Paramaribo
Nieuw Nickerie Airport,Nieuw Nickerie,Suriname,,ICK,SMNI,5.955560207366943,-57.039398193359375,9,5905,,-3.0,U,,airport,OurAirports,7335,,,,America/Paramaribo
Vincent Fayks Airport,Paloemeu,Suriname,,OEM,SMPA,3.3452799320220947,-55.442501068115234,714,5906,,-3.0,U,,airport,OurAirports,7336,,,,America/Paramaribo
Sarakreek Airstrip,Sarakreek,Suriname,,"",SMSK,4.319444,-54.966667,223,5907,,-3.0,U,,airport,OurAirports,7337,,,,America/Paramaribo
